Year,HDZ,SDP,HSS,HNS,HSLS,HSP,HSP_AS,IDS,HSU,LAB,MOST,GLAS,FOKUS,DP,HS,MOZ,RF,BM365,NSR,CENTAR,NPS,SDSS,DZMH,BDP,GNV,CivicParty,HDSSB,HDS,LP,DCentar,CPP,APK,CPA,SDS,SNP,SBCP,Independents,Total,Notes
1992,85,6,3,6,14,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,4,131,"Chamber of Representatives – first post-independence parliamentary election"
1995,75,10,10,2,12,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,1,3,124,"Chamber of Representatives – 127 total seats (124 allocated; remainder minor lists)"
2000,46,43,17,2,25,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,0,0,1,1,3,151,"Chamber of Representatives – 151 seats"
2003,66,34,10,10,2,8,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,2,1,0,1,0,0,0,0,4,150,"Unicameral Sabor – 151 official seats; minority list adds 1"
2007,66,56,6,7,2,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,1,0,0,0,0,0,4,153,"Unicameral Sabor – 153 seats"
2011,44,61,1,14,0,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,2,6,0,0,1,0,0,0,0,0,0,5,151,"Kukuriku coalition victory; per-party counts"
2015,50,42,1,9,2,0,3,3,2,3,19,0,0,0,0,0,0,2,1,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,147,"Highly fragmented; MOST 19 seats"
2016,57,39,5,9,1,0,0,3,1,0,13,0,0,0,0,0,0,1,1,0,0,3,1,0,0,0,1,1,0,0,0,0,0,0,0,0,5,141,"Snap election; HDZ 61 by list"
2020,62,32,2,1,2,0,0,3,1,0,8,1,1,9,4,4,1,0,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,142,"HDZ-led plurality; Možemo! entered"
2024,55,37,1,1,2,0,0,2,0,0,8,1,1,12,2,10,0,0,0,2,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,145,"HDZ 61 by list; govt with DP"
