Year,RE,K,SDE,IRL,ISAMAA,RP,IL,EKRE,E200,ERL,EER,EVA,KMÜ,IL+ERSP,M,PFE,KK,ERSP,KRE,EK,EEE,EÜR+VEE,EÜRP,ECP,Total,Notes
1992,0,0,0,0,0,0,29,0,0,0,1,0,0,0,12,15,17,10,8,8,1,0,0,0,101,"First post-independence election. Alliances (Fatherland Bloc etc.) mapped to party labels"
1995,19,16,0,0,0,0,0,0,0,0,0,0,41,8,6,0,0,0,0,0,0,6,0,0,96,"KMÜ=Coalition+Country (41); IL+ERSP (8); EÜR+VEE (6); Right Wingers (5) omitted"
1999,18,28,0,0,0,0,18,0,0,7,0,0,0,0,17,0,0,0,0,0,0,0,6,7,101,"ERL=Country People's (later People's Union); ECP=Estonian Coalition Party"
2003,19,28,0,0,0,28,7,0,0,13,0,0,0,0,6,0,0,0,0,0,0,0,0,0,101,"RP=Res Publica (28); ERL=People's Union (13); IL=Pro Patria Union (7); M=Moderates (6)"
2007,31,29,10,19,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,101,"IRL=Pro Patria & Res Publica Union; EER=Greens; ERL=People's Union"
2011,33,26,19,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,"IRL=Pro Patria & Res Publica Union"
2015,30,27,15,14,0,0,0,7,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,101,"EVA=Estonian Free Party (8); EKRE enters with 7 seats"
2019,34,26,10,0,12,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,"ISAMAA post-2018 name of Pro Patria family"
2023,37,16,9,0,8,0,0,17,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,"E200=Estonia 200 enters with 14 seats"
